model,feature,importance,rank
random_forest,odometry_ratio,0.38062674384359213,1
random_forest,perception_to_nav_ratio,0.2716112593243205,2
random_forest,imu_ratio,0.1518704036644871,3
random_forest,n_active_topics,0.14473915651167224,4
random_forest,lidar_ratio,0.01545840071858915,5
random_forest,radar_to_lidar_ratio,0.014241643629580131,6
random_forest,avg_speed_kmh,0.006880187134249565,7
random_forest,distance_km,0.006777811424974214,8
random_forest,radar_ratio,0.005962849553548448,9
random_forest,image_ratio,0.0013457533679201395,10
random_forest,lidar_to_camera_ratio,0.000485790827066411,11
random_forest,duration,0.0,12
xgboost,odometry_ratio,0.5760126113891602,1
xgboost,imu_ratio,0.338951975107193,2
xgboost,perception_to_nav_ratio,0.035168085247278214,3
xgboost,radar_to_lidar_ratio,0.014479254372417927,4
xgboost,lidar_ratio,0.01051729079335928,5
xgboost,distance_km,0.007875070907175541,6
xgboost,n_active_topics,0.006123587489128113,7
xgboost,avg_speed_kmh,0.005054992623627186,8
xgboost,radar_ratio,0.0037977152969688177,9
xgboost,image_ratio,0.0019603215623646975,10
xgboost,lidar_to_camera_ratio,5.9171594330109656e-05,11
xgboost,duration,0.0,12
