database_name,database_path,simple_msg_count,weighted_msg_count,duration_hours,duration_seconds,distance_km,pts_per_hour,pts_per_km
T-MULTI-FAST-POLI,D:\RACECAR\racecar-energy-proxy\data\data\S6\T-MULTI-FAST-POLI.db3,1267621,2233784.4,0.2222,799,226.25,10052049.45,9873.07
M-SOLO-SLOW-70,D:\RACECAR\racecar-energy-proxy\data\S1\M-SOLO-SLOW-70\M-SOLO-SLOW-70.db3,10231055,14625351.7,0.3717,1338,328.6,39346293.21,44508.3
P-SOLO-SLOW-70,D:\RACECAR\racecar-energy-proxy\data\S1\P-SOLO-SLOW-70\P-SOLO-SLOW-70.db3,507865,1139197.1,0.3483,1253,373.13,3271181.7,3053.05
P-SOLO-FAST-140,D:\RACECAR\racecar-energy-proxy\data\S10\P-SOLO-FAST-140\P-SOLO-FAST-140.db3,146743,360272.6,0.1137,409,118.76,3168496.4,3033.56
T-SOLO-PYLON,D:\RACECAR\racecar-energy-proxy\data\S11\T-SOLO-PYLON\T-SOLO-PYLON.db3,634111,1072129.1,0.1137,409,112.74,9427975.02,9509.89
C-SOLO-SLOW-70-100,D:\RACECAR\racecar-energy-proxy\data\S2\C-SOLO-SLOW-70-100\C-SOLO-SLOW-70-100.db3,315738,381638.9,0.1777,639,93.32,2147604.01,4089.68
M-SOLO-SLOW-70-100,D:\RACECAR\racecar-energy-proxy\data\S2\M-SOLO-SLOW-70-100\M-SOLO-SLOW-70-100.db3,11968250,16288076.7,0.5417,1949,584.5,30070322.49,27866.55
M-SOLO-FAST-100-140,D:\RACECAR\racecar-energy-proxy\data\S3\M-SOLO-FAST-100-140\M-SOLO-FAST-100-140.db3,5533818,7441506.4,0.25,899,259.49,29766105.54,28677.67
E-SOLO-FAST-140-170,D:\RACECAR\racecar-energy-proxy\data\S4\E-SOLO-FAST-140-170\E-SOLO-FAST-140-170.db3,233499,222699.9,0.1667,599,149.83,1336209.88,1486.35
T-SOLO-FAST-140,D:\RACECAR\racecar-energy-proxy\data\S4\T-SOLO-FAST-140\T-SOLO-FAST-140.db3,834056,1465728.4,0.1606,578,156.27,9125635.92,9379.36
C-MULTI-SLOW-POLI,D:\RACECAR\racecar-energy-proxy\data\S5\C-MULTI-SLOW-POLI\C-MULTI-SLOW-POLI.db3,381051,455091.9,0.1667,599,122.15,2730615.05,3725.68
K-MULTI-SLOW-MIT,D:\RACECAR\racecar-energy-proxy\data\S5\K-MULTI-SLOW-MIT\K-MULTI-SLOW-MIT.db3,0,0,0.0,0,,0,
M-MULTI-SLOW-KAIST,D:\RACECAR\racecar-energy-proxy\data\S5\M-MULTI-SLOW-KAIST\M-MULTI-SLOW-KAIST.db3,4155488,5568632.0,0.1944,699,207.31,28638707.23,26861.53
P-MULTI-SLOW-CAV,D:\RACECAR\racecar-energy-proxy\data\S5\P-MULTI-SLOW-CAV\P-MULTI-SLOW-CAV.db3,253448,560419.2,0.1667,599,155.7,3362528.34,3599.44
E-MULTI-FAST-TUM,D:\RACECAR\racecar-energy-proxy\data\S6\E-MULTI-FAST-TUM\E-MULTI-FAST-TUM.db3,256896,245016.9,0.1833,659,153.83,1336470.02,1592.78
T-MULTI-FAST-EURO,D:\RACECAR\racecar-energy-proxy\data\S6\T-MULTI-FAST-EURO\T-MULTI-FAST-EURO.db3,1137183,1923638.3,0.2042,734,189.84,9422060.71,10133.01
C-SOLO-SLOW-70,D:\RACECAR\racecar-energy-proxy\data\S7\C-SOLO-SLOW-70\C-SOLO-SLOW-70.db3,89092,182448.4,0.0973,350,131.91,1875039.89,1383.13
E-SOLO-FAST-100-140,D:\RACECAR\racecar-energy-proxy\data\S9\E-SOLO-FAST-100-140\E-SOLO-FAST-100-140.db3,359158,342553.9,0.2563,922,253.26,1336692.66,1352.58
T-SOLO-FAST-100-140,D:\RACECAR\racecar-energy-proxy\data\S9\T-SOLO-FAST-100-140\T-SOLO-FAST-100-140.db3,818951,1362418.4,0.1278,459,130.29,10662518.06,10456.42
