model,feature,importance,rank
random_forest,msg_rate,0.4055982148070513,1
random_forest,radar_rate,0.40114369688771045,2
random_forest,odometry_ratio,0.14377469669441992,3
random_forest,imu_ratio,0.04201492657662492,4
random_forest,lidar_ratio,0.004144439531832326,5
random_forest,radar_ratio,0.0014095439437703443,6
random_forest,imu_rate,0.0007748895136008758,7
random_forest,lidar_rate,0.0005345852968029037,8
random_forest,distance_km,0.00023184286677633764,9
random_forest,image_ratio,0.00014866053342218216,10
random_forest,odometry_rate,0.0001388569151121404,11
random_forest,image_rate,8.564643287634217e-05,12
random_forest,duration,0.0,13
xgboost,radar_rate,0.6741044521331787,1
xgboost,msg_rate,0.2906060814857483,2
xgboost,imu_ratio,0.021360162645578384,3
xgboost,odometry_ratio,0.010728842578828335,4
xgboost,lidar_rate,0.0022625818382948637,5
xgboost,radar_ratio,0.0002964525774586946,6
xgboost,distance_km,0.0002831948222592473,7
xgboost,lidar_ratio,0.00016550629516132176,8
xgboost,imu_rate,0.00011165619798703119,9
xgboost,odometry_rate,5.5423846788471565e-05,10
xgboost,image_rate,1.661305759625975e-05,11
xgboost,image_ratio,8.907738447305746e-06,12
xgboost,duration,0.0,13
