database_name,database_path,simple_msg_count,weighted_msg_count,duration_hours,duration_seconds,distance_km,pts_per_hour,pts_per_km
M-SOLO-SLOW-70,D:\RACECAR\SWPtool\SWPtool\data\S1\M-SOLO-SLOW-70\M-SOLO-SLOW-70.db3,10231055,14625351.7,0.3717,1338,328.71,39346293.21,44493.06
P-SOLO-SLOW-70,D:\RACECAR\SWPtool\SWPtool\data\S1\P-SOLO-SLOW-70\P-SOLO-SLOW-70.db3,507865,1139197.1,0.3483,1253,372.49,3271181.7,3058.32
P-SOLO-FAST-140,D:\RACECAR\SWPtool\SWPtool\data\S10\P-SOLO-FAST-140\P-SOLO-FAST-140.db3,146743,360272.6,0.1137,409,118.7,3168496.4,3035.23
T-SOLO-PYLON,D:\RACECAR\SWPtool\SWPtool\data\S11\T-SOLO-PYLON\T-SOLO-PYLON.db3,634111,1072129.1,0.1137,409,112.75,9427975.02,9509.22
C-SOLO-SLOW-70-100,D:\RACECAR\SWPtool\SWPtool\data\S2\C-SOLO-SLOW-70-100\C-SOLO-SLOW-70-100.db3,315738,381638.9,0.1777,639,93.36,2147604.01,4087.89
M-SOLO-SLOW-70-100,D:\RACECAR\SWPtool\SWPtool\data\S2\M-SOLO-SLOW-70-100\M-SOLO-SLOW-70-100.db3,11968250,16288076.7,0.5417,1949,584.05,30070322.49,27887.96
M-SOLO-FAST-100-140,D:\RACECAR\SWPtool\SWPtool\data\S3\M-SOLO-FAST-100-140\M-SOLO-FAST-100-140.db3,5533818,7441506.4,0.25,899,259.39,29766105.54,28688.42
E-SOLO-FAST-140-170,D:\RACECAR\SWPtool\SWPtool\data\S4\E-SOLO-FAST-140-170\E-SOLO-FAST-140-170.db3,233499,222699.9,0.1667,599,149.86,1336209.88,1486.07
T-SOLO-FAST-140,D:\RACECAR\SWPtool\SWPtool\data\S4\T-SOLO-FAST-140\T-SOLO-FAST-140.db3,834056,1465728.4,0.1606,578,156.06,9125635.92,9392.32
C-MULTI-SLOW-POLI,D:\RACECAR\SWPtool\SWPtool\data\S5\C-MULTI-SLOW-POLI\C-MULTI-SLOW-POLI.db3,381051,455091.9,0.1667,599,122.02,2730615.05,3729.74
K-MULTI-SLOW-MIT,D:\RACECAR\SWPtool\SWPtool\data\S5\K-MULTI-SLOW-MIT\K-MULTI-SLOW-MIT.db3,0,0,0.0,0,,0,
M-MULTI-SLOW-KAIST,D:\RACECAR\SWPtool\SWPtool\data\S5\M-MULTI-SLOW-KAIST\M-MULTI-SLOW-KAIST.db3,4155488,5568632.0,0.1944,699,206.59,28638707.23,26954.38
P-MULTI-SLOW-CAV,D:\RACECAR\SWPtool\SWPtool\data\S5\P-MULTI-SLOW-CAV\P-MULTI-SLOW-CAV.db3,253448,560419.2,0.1667,599,155.53,3362528.34,3603.32
E-MULTI-FAST-TUM,D:\RACECAR\SWPtool\SWPtool\data\S6\E-MULTI-FAST-TUM\E-MULTI-FAST-TUM.db3,256896,245016.9,0.1833,659,153.82,1336470.02,1592.87
T-MULTI-FAST-EURO,D:\RACECAR\SWPtool\SWPtool\data\S6\T-MULTI-FAST-EURO\T-MULTI-FAST-EURO.db3,1137183,1923638.3,0.2042,734,189.49,9422060.71,10151.6
C-SOLO-SLOW-70,D:\RACECAR\SWPtool\SWPtool\data\S7\C-SOLO-SLOW-70\C-SOLO-SLOW-70.db3,89092,182448.4,0.0973,350,131.79,1875039.89,1384.38
E-SOLO-FAST-100-140,D:\RACECAR\SWPtool\SWPtool\data\S9\E-SOLO-FAST-100-140\E-SOLO-FAST-100-140.db3,359158,342553.9,0.2563,922,253.17,1336692.66,1353.03
T-SOLO-FAST-100-140,D:\RACECAR\SWPtool\SWPtool\data\S9\T-SOLO-FAST-100-140\T-SOLO-FAST-100-140.db3,818951,1362418.4,0.1278,459,130.34,10662518.06,10452.91
